customer_id,age,income,past_purchases,website_visits,discount,treatment,purchased
1,56,69376,2,10,0,0,0
2,46,65587,3,4,10,1,1
3,32,56976,3,6,20,1,0
4,60,87584,5,4,0,0,0
5,25,98477,2,2,5,1,0
6,38,62533,3,3,0,0,0
7,56,21828,6,1,5,1,1
8,36,21917,6,9,0,0,0
9,40,40618,5,5,0,0,0
10,28,52254,5,3,0,0,0
11,28,67362,5,4,5,1,1
12,41,40128,2,3,5,1,1
13,53,79383,5,4,5,1,0
14,57,85545,5,6,0,0,0
15,41,29865,4,4,0,0,0
16,20,22219,3,2,0,0,0
17,39,59809,2,6,0,0,0
18,19,25287,3,3,0,0,0
19,41,54387,3,6,5,1,0
20,61,28512,5,2,0,0,0
21,47,21342,6,8,0,0,0
22,55,83076,4,3,5,1,1
23,19,39216,3,6,0,0,0
24,38,99767,5,4,0,0,0
25,50,46614,7,5,0,0,1
26,29,56258,5,6,5,1,0
27,39,62078,3,1,0,0,1
28,61,32219,5,5,0,0,0
29,42,20235,7,7,20,1,0
30,44,62929,7,6,0,0,0
31,59,87444,3,6,10,1,1
32,45,28567,7,7,0,0,0
33,33,90792,4,4,0,0,1
34,32,85441,2,3,15,1,0
35,64,93698,5,8,0,0,0
36,61,25415,3,4,10,1,0
37,20,56159,3,5,0,0,0
38,54,63925,3,5,0,0,0
39,24,25951,4,3,0,0,1
40,38,28007,1,9,0,0,0
41,26,61832,3,8,10,1,0
42,56,78596,7,6,0,0,0
43,35,50523,3,3,0,0,1
44,21,35524,5,5,10,1,1
45,42,39282,2,5,5,1,1
46,31,43930,3,5,0,0,1
47,26,20077,1,3,10,1,1
48,43,40611,5,7,0,0,1
49,19,36984,4,3,0,0,0
50,37,34060,3,0,0,0,0
51,45,63303,7,6,0,0,0
52,64,79207,4,6,20,1,1
53,24,95046,7,4,5,1,0
54,61,49287,5,5,0,0,0
55,25,59711,2,9,10,1,1
56,64,31954,1,5,10,1,1
57,52,93340,6,4,0,0,0
58,31,92101,2,3,0,0,0
59,34,91520,3,6,0,0,0
60,53,38574,3,2,0,0,1
61,57,29184,3,6,0,0,1
62,21,39096,4,6,0,0,0
63,19,87728,9,6,0,0,0
64,23,54016,4,5,10,1,0
65,59,31246,4,3,5,1,0
66,21,65558,7,4,0,0,0
67,46,38381,7,4,0,0,1
68,35,56455,4,5,10,1,1
69,43,24018,3,4,0,0,0
70,61,31302,6,4,0,0,0
71,51,87506,6,5,15,1,0
72,27,61157,0,5,0,0,0
73,53,74917,3,5,0,0,0
74,31,44519,5,7,10,1,0
75,48,76819,4,3,20,1,1
76,65,91324,3,2,20,1,0
77,32,25408,3,4,0,0,0
78,25,79379,7,4,15,1,1
79,31,45053,3,6,0,0,0
80,40,29446,3,3,0,0,0
81,57,20922,3,5,0,0,0
82,38,71356,6,5,0,0,0
83,33,30789,3,5,10,1,0
84,62,86656,6,5,0,0,0
85,35,64028,2,3,0,0,0
86,64,84484,7,10,20,1,1
87,41,52154,4,5,0,0,0
88,43,22336,4,4,0,0,0
89,42,87779,1,4,20,1,0
90,62,39029,5,7,20,1,1
91,58,79201,6,3,15,1,0
92,46,52265,1,6,15,1,0
93,32,63872,5,2,20,1,1
94,62,66197,5,4,5,1,0
95,18,75180,1,4,0,0,0
96,42,43710,3,4,0,0,0
97,24,49486,4,8,15,1,0
98,26,91907,1,5,0,0,0
99,41,91895,2,8,15,1,0
100,18,84435,4,5,15,1,1
101,61,60631,4,7,20,1,1
102,25,40103,5,8,0,0,0
103,41,84772,5,3,0,0,1
104,28,34382,1,4,0,0,0
105,34,23756,4,6,20,1,1
106,25,40609,3,4,0,0,0
107,52,36478,3,4,0,0,0
108,52,59666,6,6,15,1,0
109,50,95683,3,2,5,1,0
110,22,91315,3,4,0,0,1
111,59,97834,2,2,0,0,0
112,56,34153,6,8,0,0,1
113,58,96325,4,7,0,0,0
114,45,32999,3,2,0,0,0
115,24,75318,4,5,15,1,0
116,26,20814,5,6,0,0,0
117,25,96077,6,7,5,1,0
118,29,22443,7,7,0,0,0
119,51,95993,4,7,0,0,0
120,50,95916,4,6,20,1,0
121,65,93319,6,5,20,1,0
122,40,37368,3,5,0,0,0
123,41,35328,4,8,0,0,0
124,54,76942,6,7,10,1,0
125,52,47306,6,4,20,1,1
126,61,59915,3,5,0,0,1
127,57,57219,2,8,0,0,0
128,39,84644,8,5,15,1,1
129,44,80279,4,2,5,1,1
130,52,73028,4,3,15,1,0
131,18,20126,4,7,0,0,0
132,52,72329,1,3,0,0,0
133,54,47632,10,8,15,1,0
134,64,85310,6,1,10,1,0
135,31,75176,1,5,0,0,0
136,20,64327,8,3,5,1,0
137,18,88904,6,5,0,0,0
138,22,23797,3,5,0,0,0
139,43,67882,0,2,0,0,0
140,31,33718,4,7,0,0,0
141,56,54560,5,2,20,1,0
142,44,96589,2,4,10,1,1
143,26,42116,2,5,10,1,0
144,32,56244,4,4,0,0,0
145,32,21645,3,4,0,0,0
146,43,67523,7,5,0,0,0
147,59,39256,7,4,20,1,0
148,30,73173,3,4,15,1,0
149,49,57430,7,5,20,1,1
150,56,59282,1,7,15,1,0
151,49,83374,2,6,10,1,1
152,21,88244,3,6,10,1,0
153,47,31694,3,8,0,0,1
154,54,76264,2,5,15,1,1
155,40,95060,0,2,0,0,1
156,56,77545,1,4,5,1,0
157,62,59224,3,6,20,1,0
158,32,33224,4,3,0,0,0
159,60,60738,3,3,15,1,1
160,46,45150,5,5,15,1,1
161,53,83731,6,5,10,1,0
162,30,69688,3,6,0,0,0
163,49,93509,2,2,0,0,0
164,24,28577,3,6,20,1,0
165,39,28070,3,4,15,1,0
166,45,28666,3,3,0,0,0
167,19,77761,6,4,0,0,1
168,59,56368,7,2,10,1,0
169,62,26783,2,6,0,0,0
170,23,61914,4,8,0,0,0
171,45,90507,3,5,15,1,0
172,45,99026,6,6,5,1,0
173,61,87526,8,5,5,1,0
174,61,90835,5,5,0,0,0
175,37,65765,4,6,5,1,1
176,47,39956,1,4,20,1,1
177,28,66240,2,4,5,1,0
178,45,57148,5,5,0,0,0
179,42,24757,5,5,0,0,0
180,56,39097,3,4,0,0,0
181,50,30395,1,4,10,1,0
182,18,36241,1,7,20,1,0
183,44,47696,4,5,5,1,0
184,30,90480,8,4,0,0,1
185,58,66163,3,3,20,1,0
186,20,39816,6,9,0,0,0
187,56,69840,1,6,0,0,1
188,23,72853,4,6,0,0,0
189,25,44917,4,4,0,0,0
190,44,41566,6,7,5,1,0
191,26,95452,1,6,0,0,1
192,54,82823,7,6,15,1,1
