customer_id,ITE,treatment,purchased,customers_targeted,uplift,qini,random_baseline
890,0.8147580400929588,1,0.0,1,0.0,0.0,0.0
730,0.7890757255024454,1,0.0,2,0.0,0.0,0.08261417563743144
588,0.782511689451582,1,1.0,3,0.3333333333333333,1.0,0.16522835127486288
605,0.7588963785752989,1,1.0,4,0.5,2.0,0.2478425269122943
868,0.7559169450054037,1,1.0,5,0.6,3.0,0.33045670254972576
414,0.7306600200248242,1,0.0,6,0.5,3.0,0.4130708781871572
971,0.713269435673278,1,1.0,7,0.5714285714285714,4.0,0.4956850538245886
498,0.6912957583977059,1,0.0,8,0.5,4.0,0.5782992294620201
299,0.6861657956308858,1,1.0,9,0.5555555555555556,5.0,0.6609134050994515
93,0.6837840114844744,1,1.0,10,0.6,6.0,0.743527580736883
379,0.6736727276229656,1,1.0,11,0.6363636363636364,7.0,0.8261417563743144
238,0.658300534267019,1,0.0,12,0.5833333333333334,7.0,0.9087559320117459
497,0.6568010136787126,1,1.0,13,0.6153846153846154,8.0,0.9913701076491772
732,0.6488206982777562,1,1.0,14,0.6428571428571429,9.0,1.0739842832866087
465,0.6466126028208901,1,0.0,15,0.6,9.0,1.1565984589240401
228,0.6415442260513615,1,1.0,16,0.625,10.0,1.2392126345614716
505,0.64147258399754,1,1.0,17,0.6470588235294118,11.0,1.321826810198903
225,0.6403585523144382,1,1.0,18,0.6666666666666666,12.0,1.4044409858363345
230,0.6396068216464511,1,0.0,19,0.631578947368421,12.0,1.487055161473766
833,0.6369886193608043,1,1.0,20,0.65,13.0,1.5696693371111974
241,0.6351873065003458,1,0.0,21,0.6190476190476191,13.0,1.6522835127486288
343,0.6332048838895101,1,0.0,22,0.5909090909090909,13.0,1.7348976883860603
338,0.6293472752286214,1,1.0,23,0.6086956521739131,14.0,1.8175118640234917
316,0.6258243218325298,1,0.0,24,0.5833333333333334,14.0,1.9001260396609232
655,0.6001618685151076,0,0.0,25,0.5833333333333334,14.0,1.9827402152983544
790,0.5972723265967322,1,0.0,26,0.56,14.0,2.065354390935786
5,0.5957946771515309,1,0.0,27,0.5384615384615384,14.0,2.1479685665732173
437,0.5829448736778193,1,1.0,28,0.5555555555555556,15.0,2.230582742210649
586,0.5793446373603308,0,0.0,29,0.5555555555555556,15.0,2.3131969178480802
307,0.5697732946249295,1,1.0,30,0.5714285714285714,16.0,2.395811093485512
566,0.5695231084012006,1,0.0,31,0.5517241379310345,16.0,2.478425269122943
394,0.5542234500892775,1,0.0,32,0.5333333333333333,16.0,2.561039444760375
637,0.5525683223682044,0,0.0,33,0.5333333333333333,16.0,2.643653620397806
639,0.5495286112830238,1,0.0,34,0.5161290322580645,16.0,2.7262677960352373
34,0.543421582666718,1,0.0,35,0.5,16.0,2.808881971672669
692,0.5360850728751303,1,0.0,36,0.48484848484848486,16.0,2.8914961473101
593,0.534486798549821,0,0.0,37,0.48484848484848486,16.0,2.974110322947532
331,0.527691414572969,1,0.0,38,0.47058823529411764,16.0,3.056724498584963
428,0.52766565752046,0,0.0,39,0.47058823529411764,16.0,3.1393386742223948
443,0.5274127109239171,1,0.0,40,0.45714285714285713,16.0,3.221952849859826
764,0.5267202085940352,0,0.0,41,0.45714285714285713,16.0,3.3045670254972577
869,0.5164303229279662,0,0.0,42,0.45714285714285713,16.0,3.387181201134689
776,0.5121139076763296,1,0.0,43,0.4444444444444444,16.0,3.4697953767721206
573,0.5111316695298934,1,0.0,44,0.43243243243243246,16.0,3.552409552409552
786,0.4971983427453158,0,0.0,45,0.43243243243243246,16.0,3.6350237280469835
202,0.4939904017776073,1,1.0,46,0.4473684210526316,17.0,3.7176379036844147
399,0.4872644618075611,1,0.0,47,0.4358974358974359,17.0,3.8002520793218464
78,0.4860216184484301,1,1.0,48,0.45,18.0,3.8828662549592776
283,0.4816041292338692,0,0.0,49,0.45,18.0,3.965480430596709
578,0.480697344959998,1,0.0,50,0.43902439024390244,18.0,4.04809460623414
390,0.4796034655592232,1,1.0,51,0.4523809523809524,19.0,4.130708781871572
349,0.4731569951290275,1,1.0,52,0.46511627906976744,20.0,4.213322957509003
100,0.4721099731534496,1,1.0,53,0.4772727272727273,21.0,4.295937133146435
368,0.4713790058161252,1,1.0,54,0.4888888888888889,22.0,4.378551308783866
613,0.4645713844466169,1,0.0,55,0.4782608695652174,22.0,4.461165484421298
209,0.460865438373829,1,1.0,56,0.48936170212765956,23.0,4.543779660058729
982,0.4527205520291836,0,1.0,57,0.3893617021276595,18.3,4.6263938356961605
844,0.4526320548360439,1,0.0,58,0.37916666666666665,18.2,4.709008011333592
809,0.4524336881638113,1,0.0,59,0.3693877551020408,18.1,4.791622186971024
